Exercise,Score,Cumulative Score
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,2,7
7,2,9
8,2,11
9,1,12
10,1,13
11,1,14
12,1,15
13,1,16
14,3,19
15,1,20
16,2,22
17,2,24
18,2,26
19,1,27
20,2,29
21,1,30
22,1,31
23,2,33
24,2,35
25,3,38
26,2,40
27,2,42
28,1,43
29,3,46
30,3,49
31,1,50
32,3,53
33,1,54
34,2,56
35,2,58
36,2,60
37,2,62
38,1,63
39,2,65
40,1,66
41,2,68
42,1,69
43,2,71
44,1,72
45,1,73
46,2,75
47,3,78
48,2,80
49,1,81
50,1,82
51,3,85
52,2,87
53,2,89
54,2,91
55,2,93
56,2,95
57,3,98
58,3,101
59,2,103
60,2,105
61,2,107
62,2,109
63,2,111
64,2,113
65,3,116
66,3,119
67,2,121
68,2,123
69,3,126
70,2,128
71,2,130
72,2,132
73,2,134
74,2,136
75,3,139
76,3,142
77,2,144
78,2,146
79,2,148
80,2,150
81,2,152
82,3,155
83,2,157
84,2,159
85,2,161
86,2,163
87,3,166
88,2,168
89,2,170
90,2,172
91,4,176
92,3,179
93,2,181
94,3,184
95,2,186
96,2,188
97,3,191
98,3,194
99,4,198
100,3,201
101,3,204
102,2,206
103,2,208
104,2,210
105,2,212
106,3,215
107,2,217
108,2,219
109,2,221
110,2,223
111,2,225
112,2,227
113,2,229
114,2,231
115,2,233
116,3,236
117,2,238
118,3,241
119,3,244
120,3,247
121,3,250
122,3,253
123,4,257
124,3,260
125,4,264
126,3,267
127,4,271
128,3,274
129,3,277
130,2,279
131,3,282
132,4,286
133,4,290
134,3,293
135,2,295
136,3,298
137,2,300
138,3,303
139,4,307
140,2,309
141,2,311
